Month,Day,Hour,Dew Point,Temperature,Pressure,Relative Humidity,Wind Speed,Conditions,GHI
10,6,16,61.71015137,76.45034302,977.9549561,60.36268997,1.755369782,Clear,381
10,6,17,61.56991089,73.39812134,977.9671631,66.51263428,1.626954079,Clear,183
10,6,18,61.10639771,70.12529418,978.3792114,73.09732819,1.588481545,Clear,0
10,6,19,60.60734375,68.320625,979.1552124,76.38973999,1.538431525,Clear,0
10,6,20,60.31021851,66.71398438,979.5515137,79.89138794,1.401199579,Clear,0
10,6,21,60.18750122,65.35113037,979.7088623,83.39376068,1.33011198,Clear,0
10,6,22,59.58479125,64.25463988,979.5341797,84.80391693,1.381145477,Clear,0
10,6,23,58.97367676,63.10140503,979.4763184,86.39466095,1.347365141,Clear,0
10,7,0,58.54235351,61.80996216,979.0435791,89.02993011,1.229995728,Clear,0
10,7,1,58.14547241,60.61574829,978.6769409,91.56279755,1.14343822,Clear,0
10,7,2,57.65608643,59.58742798,978.2526245,93.31963348,1.148576379,Clear,0
10,7,3,57.04096192,58.64276856,978.1643677,94.40876007,1.193279266,Clear,0
10,7,4,56.37502564,57.79226196,978.3045654,95.02084351,1.232621551,Cloudy,0
10,7,5,55.24491699,57.68124512,978.6220093,91.57283783,1.272276044,Cloudy,0
10,7,6,53.74934814,57.29029662,978.9697266,87.94355011,1.346347332,Clear,0
10,7,7,52.86137817,57.81676147,979.7849731,83.53218079,1.422936678,Clear,23
10,7,8,52.00043457,61.22779662,980.4631958,71.65994263,1.535086155,Cloudy,54
10,7,9,51.39063842,65.44709595,980.809021,60.42547989,1.808104038,Cloudy,276
10,7,10,51.65150878,68.39785888,981.3305054,55.0965538,2.031716824,Cloudy,372
10,7,11,51.71704223,70.09046753,981.2700806,52.12231445,2.226636887,Cloudy,488
10,7,12,51.80372436,70.76217162,981.2393799,51.10703278,2.319824457,Cloudy,779
10,7,13,51.25841796,70.30052613,980.993042,50.88154221,2.360313892,Cloudy,562
10,7,14,50.2503125,68.79375122,980.4851074,51.60627365,2.338305712,Clear,552
10,7,15,49.03302734,67.06400878,980.3781738,52.34415436,2.238377571,Clear,412
10,7,16,47.82969482,65.01363037,980.5327148,53.72710419,2.023567915,Partly Cloudly,291
10,7,17,47.21792114,62.34593018,980.5744019,57.64955902,1.730416894,Clear,163
10,7,18,47.54888428,58.95730713,981.4202271,65.83049011,1.419657946,Partly Cloudly,0
10,7,19,47.99921387,57.08111695,982.4177856,71.61646271,1.337528229,Mostly Clear,0
10,7,20,47.99871948,56.0265393,982.9337769,74.39561462,1.249349356,Mostly Clear,0
10,7,21,47.93560303,55.19514893,983.3609009,76.49183655,1.18073678,Partly Cloudly,0
10,7,22,47.60579346,54.4734021,983.4788818,77.56134033,1.181479454,Clear,0
10,7,23,47.19655273,53.91139649,983.022644,77.95978546,1.188508868,Clear,0
10,8,0,46.93145264,53.40410278,982.6889648,78.63114166,1.17917192,Mostly Cloudy,0
10,8,1,46.81774414,52.9480603,982.6357422,79.61465454,1.167966962,Mostly Cloudy,0
10,8,2,46.66591309,52.49130372,982.288269,80.4992981,1.139324903,Mostly Cloudy,0
10,8,3,46.46535767,52.08854491,982.3735962,81.08529663,1.114503503,Mostly Cloudy,0
10,8,4,46.64800537,51.91452149,982.4429321,82.17119598,1.121365428,Clear,0
10,8,5,46.80318726,51.85991943,982.6566772,82.81986237,1.128526092,Clear,0
10,8,6,46.90519531,51.75291259,983.0695801,83.46764374,1.135697246,Clear,0
10,8,7,47.27801636,52.5178357,983.1482544,82.29646301,1.103315234,Clear,5
10,8,8,47.95730102,54.96778686,983.8828735,77.18946838,0.964109778,Clear,151
10,8,9,49.94901245,58.29851196,984.1001587,73.72663879,0.758806169,Clear,237
10,8,10,51.71028564,60.6694165,983.7752075,72.3146286,0.431742787,Partly Cloudly,230
10,8,11,52.67235839,62.1343335,983.7012329,71.13806152,0.104234189,Clear,202
10,8,12,53.03770875,62.77609985,983.3259888,70.48735046,0.162544891,Mostly Clear,311
10,8,13,53.6293225,63.21549805,982.661438,70.92806244,0.358105481,Partly Cloudly,233
10,8,14,53.84641235,63.47823609,982.1939087,70.83735657,0.450903863,Clear,366
10,8,15,53.60745972,63.09256104,981.8209839,71.1778717,0.49829331,Partly Cloudly,252
10,8,16,53.05402344,61.81638915,981.6967163,72.95552826,0.544932961,Clear,168
10,8,17,53.17921265,59.82736939,981.6964111,78.64738464,0.551971257,Mostly Cloudy,179
10,8,18,55.34110229,57.98342408,982.1116333,90.90130615,0.627659857,Partly Cloudly,0
10,8,19,54.28449219,56.68775146,982.6869507,91.64857483,0.748897314,Partly Cloudly,0
10,8,20,53.18327759,55.50573241,983.1828613,91.87918091,0.758181751,Partly Cloudly,0
10,8,21,52.47169311,54.44835327,983.3066406,93.01937103,0.71979475,Partly Cloudly,0
10,8,22,52.48147095,53.851521,983.413208,95.10210419,0.745744765,Clear,0
10,8,23,52.42785766,53.15559204,982.9597168,97.36354065,0.808228195,Clear,0
10,9,0,52.59644287,52.59644287,982.9606934,100,0.829227567,Clear,0
10,9,1,52.09892701,52.09892701,982.8880005,100,0.779271364,Clear,0
10,9,2,51.68100708,51.68100708,982.8291016,100,0.72048825,Clear,0
10,9,3,51.4166211,51.4166211,982.6279297,100,0.682838202,Clear,0
10,9,4,51.22458009,51.22458009,982.9570313,100,0.63521874,Clear,0
10,9,5,50.5371106,51.07181518,983.3253784,98.03915405,0.609497011,Clear,0
10,9,6,50.18142823,50.82632568,983.6708374,97.63686371,0.619175911,Clear,0
10,9,7,50.19131592,51.27539185,984.2419434,96.06341553,0.635879219,Clear,40
10,9,8,50.49398926,53.08912476,984.5386353,90.87372589,0.597250402,Partly Cloudly,75
10,9,9,50.93009155,55.77407348,984.6038818,83.74288177,0.432995766,Mostly Cloudy,217
10,9,10,51.29956177,58.29159058,984.3530884,77.53041077,0.357694,Mostly Cloudy,614
10,9,11,51.96335571,60.6780957,984.1192017,72.970047,0.407022238,Mostly Cloudy,735
10,9,12,52.88785522,62.82707641,983.3468018,69.97534943,0.509273171,Mostly Cloudy,405
10,9,14,54.07525756,65.68687256,981.9163208,66.13318634,0.650355399,Mostly Cloudy,703
10,9,15,54.28333863,65.99152344,981.3207397,65.93637848,0.63626492,Mostly Cloudy,566
10,9,16,54.24724854,64.93716552,981.012146,68.30813599,0.572614431,Mostly Cloudy,382
10,9,17,55.99143799,62.62245606,981.1272583,78.92324829,0.488046855,Cloudy,179
10,9,18,58.12739991,58.60552491,981.2964478,98.30111694,0.737146974,Mostly Cloudy,0
10,9,19,56.13920411,56.3643689,981.5799561,99.18891907,0.991423309,Mostly Cloudy,0
10,9,20,54.87747924,54.92845582,981.9275513,99.81472015,1.166358948,Mostly Cloudy,0
10,9,21,53.92348144,53.92348144,982.237854,100,1.260387182,Mostly Cloudy,0
10,9,22,53.00672729,53.00672729,982.4771729,100,1.258594155,Mostly Cloudy,0
10,9,23,52.10398071,52.10398071,982.3331909,100,1.216389894,Mostly Cloudy,0
10,10,0,51.29681518,51.29681518,981.9934692,100,1.200594068,Mostly Cloudy,0
10,10,1,51.18475464,51.18475464,981.9121704,100,1.163446307,Mostly Cloudy,0
10,10,2,51.19277466,51.19277466,982.0880127,100,1.038941622,Mostly Cloudy,0
10,10,3,51.8109204,51.8109204,981.9337769,100,0.968462408,Mostly Cloudy,0
10,10,4,52.01746338,52.21104247,982.0913696,99.28965759,1.023932576,Mostly Cloudy,0
10,10,5,51.77614869,52.32129028,982.4420776,98.01200867,1.104160428,Mostly Cloudy,0
10,10,6,51.69545411,52.55244262,983.2481079,96.89360809,1.21388936,Mostly Cloudy,0
10,10,7,51.89606445,53.49413574,983.6431885,94.29899597,1.288480401,Mostly Cloudy,37
10,10,8,52.43263671,55.60785034,984.2639771,89.05128479,1.388509274,Mostly Cloudy,226
10,10,9,53.58466308,59.77106445,984.4046631,79.98402405,1.496610761,Mostly Cloudy,425
10,10,10,54.51591918,65.12349366,984.1864014,68.5344696,1.636973262,Mostly Cloudy,594
10,10,11,55.0318921,68.68515137,983.9431152,61.74690247,1.799980521,Mostly Cloudy,714
10,10,12,55.98495606,71.06704223,983.456543,58.92977142,1.901970267,Cloudy,774
10,10,13,56.75240601,72.39457519,982.8016968,57.92445374,1.993964672,Mostly Cloudy,767
10,10,14,56.8975354,72.72713134,982.2410889,57.57887268,2.083244085,Mostly Cloudy,692
10,10,15,56.64495972,72.09514283,981.7999268,58.2869339,2.124910593,Clear,555
10,10,16,56.29680298,70.60709961,981.9468384,60.53746796,1.973216891,Mostly Cloudy,373
10,10,17,56.79311036,67.41469238,982.1032715,68.75333405,1.720713735,Mostly Cloudy,172
10,10,18,56.15183838,62.95215576,982.4403076,78.46773529,1.679690003,Partly Cloudly,0
10,10,19,55.85872314,61.15517701,983.4085693,82.72026062,1.645405769,Clear,0
10,10,20,55.46079835,59.72052735,984.2060547,85.79785919,1.57193327,Partly Cloudly,0
10,10,21,55.14038208,58.24072387,984.7925415,89.41169739,1.473717213,Clear,0
10,10,22,54.72048463,56.84068116,985.3086548,92.60399628,1.410127521,Partly Cloudly,0
10,10,23,54.09327515,55.58878906,985.4077759,94.70346069,1.39830327,Clear,0
10,11,0,53.20288818,54.35073975,985.1618042,95.89044952,1.375944495,Clear,0
10,11,1,52.04844482,52.99403808,985.2680054,96.58390808,1.338216543,Clear,0
10,11,2,50.75128906,51.67172363,985.6593628,96.65449524,1.311371922,Clear,0
10,11,3,49.4119458,50.39423339,985.7123413,96.41342163,1.298871994,Clear,0
10,11,4,48.33209961,49.28785523,986.2299805,96.49205017,1.256991148,Clear,0
10,11,5,47.55487183,48.4534436,986.6889648,96.68700409,1.198416114,Partly Cloudly,0
10,11,6,47.08943604,47.85304077,987.5460815,97.17082977,1.122672677,Clear,0
10,11,7,46.8871228,49.39293945,988.2285767,91.03733826,0.961904228,Clear,36
10,11,8,47.46500366,54.03339966,988.6960449,78.40071106,0.553227544,Cloudy,229
10,11,9,48.76375244,60.93836182,988.7409058,64.20544434,0.209978893,Cloudy,432
10,11,10,50.06502808,66.04299439,988.8473511,56.35133362,0.154735103,Cloudy,603
10,11,11,51.39459351,69.02765015,988.4028931,53.41044235,0.396766275,Cloudy,722
10,11,12,52.37896851,71.11302003,987.7606201,51.58274841,0.570145845,Cloudy,777
10,11,13,52.77107055,72.38644531,987.1381226,50.12317276,0.70964092,Cloudy,764
10,11,14,52.97794311,72.84979369,986.3292847,49.72197723,0.817855358,Cloudy,685
10,11,15,52.88933838,72.32953613,986.1791992,50.43813705,0.904865742,Partly Cloudly,547
10,11,16,54.37468994,70.7244336,986.0410767,56.23155212,0.854092479,Partly Cloudly,366
10,11,17,59.14363525,67.14865845,986.3950806,75.49649811,0.715851247,Partly Cloudly,165
10,11,18,59.77771119,62.94484985,986.6787109,89.39950562,0.665246725,Mostly Clear,0
10,11,19,60.23227051,61.97739381,987.0908203,94.00605774,0.60127759,Clear,0
10,11,20,59.98310058,61.15473756,987.3742676,95.92601776,0.551460147,Clear,0
10,11,21,59.80979125,60.42167481,987.7097168,97.84706879,0.540769756,Partly Cloudly,0
10,11,22,59.46597412,59.86082275,987.7377319,98.60269928,0.532028437,Mostly Clear,0
10,11,23,58.9471997,59.24080933,987.3577271,98.95642853,0.597781837,Clear,0
10,12,0,58.05829589,58.54224366,987.2032471,98.28002167,0.723394632,Clear,0
10,12,2,55.49573487,57.08320435,986.8989868,94.42123413,0.964571059,Clear,0
10,12,3,53.19360473,55.99055908,986.881958,90.31286621,1.122504354,Clear,0
10,12,4,51.82943238,55.26491211,986.9318237,88.18605804,1.238474011,Clear,0
10,12,5,51.48632935,55.00239381,987.1605225,87.91133118,1.314164162,Clear,0
10,12,6,51.99224976,55.45816162,987.4155884,88.09649658,1.324021339,Clear,0
10,12,7,52.6496167,58.32993286,987.5075684,81.37284851,1.313996911,Clear,13
10,12,8,53.43195313,61.8541272,987.989563,73.87438965,1.26927793,Clear,88
10,12,9,55.93321045,66.05458497,988.388855,69.85848236,1.228455663,Cloudy,327
10,12,10,58.0355542,69.60739869,988.5990601,66.68499756,1.429147363,Cloudy,434
10,12,11,60.42508057,73.68393067,988.2907715,63.25789642,1.607499599,Cloudy,593
10,12,12,62.26605957,76.24314088,987.7648926,61.98348236,1.740153432,Cloudy,608
10,12,13,63.16765259,77.46174439,987.0825806,61.44807816,1.796677232,Cloudy,736
10,12,14,63.32283448,77.60105103,986.598938,61.49979401,1.856541276,Cloudy,580
10,12,15,63.15639161,76.9494519,986.2714844,62.47398376,1.867482662,Clear,425
10,12,16,62.59619872,75.3041394,986.1119385,64.69959259,1.720313311,Clear,291
10,12,17,62.62036866,71.79153564,986.4905396,72.86735535,1.484822631,Clear,118
10,12,18,61.60715454,67.1869458,986.9251099,82.2935791,1.475547433,Clear,0
10,12,19,60.7280835,65.38760497,987.6551514,84.90254211,1.505476356,Clear,0
10,12,20,59.7306897,63.93966186,988.2473145,86.19012451,1.455840111,Clear,0
10,12,21,58.81486939,62.39190796,988.6478882,88.07605743,1.36615622,Clear,0
10,12,22,58.09954957,61.28300293,988.6504517,89.27566528,1.401117206,Clear,0
10,12,23,57.53320435,60.46605957,988.7255859,90.04842377,1.459017515,Clear,0
10,13,2,56.23967408,58.51549195,988.8491211,92.13549042,1.680018783,Clear,0
10,13,3,55.94760253,57.99386109,989.1106567,92.88787079,1.749546051,Clear,0
10,13,4,55.82746704,57.34253662,989.2143555,94.67524719,1.780721903,Clear,0
10,13,5,55.80181396,56.57277954,989.4977417,97.24943542,1.768433928,Partly Cloudly,0
10,13,6,55.65020263,55.95254638,990.1451416,98.9104538,1.726161599,Mostly Cloudy,0
10,13,7,55.26062744,56.50010497,990.9285889,95.60932922,1.636199355,Mostly Cloudy,30
10,13,8,55.15944336,59.0147107,991.7758179,87.02867889,1.531332254,Mostly Cloudy,214
10,13,9,54.42643555,62.83646973,992.2412109,74.00173187,1.75194478,Mostly Cloudy,411
10,13,10,54.54289063,66.69986695,992.2272949,64.95005798,1.739780426,Mostly Cloudy,578
10,13,11,54.7577832,69.48720826,992.0446777,59.478302,1.691362143,Mostly Cloudy,695
10,13,12,55.23206299,71.42129638,991.0862427,56.65736771,1.62104857,Mostly Cloudy,750
10,13,13,55.57851685,72.43835571,989.9786987,55.43378067,1.572421193,Mostly Cloudy,738
10,13,14,55.63811768,72.61831177,989.1295166,55.21739197,1.558092713,Mostly Cloudy,662
10,13,15,55.31704223,71.91804321,988.2384644,55.88431931,1.577415586,Clear,528
10,13,16,54.76113403,70.1900586,987.9810181,58.07570267,1.616030812,Clear,350
10,13,17,55.09863403,66.73013427,987.9330444,66.20774078,1.589104772,Clear,154
10,13,18,54.57541015,63.15216186,988.1318359,73.58388519,1.797216654,Clear,0
10,13,19,54.15589722,61.67960938,988.8009644,76.32447815,1.87436235,Clear,0
10,13,20,53.82427491,60.25907714,989.5372314,79.29896545,1.812709808,Clear,0
10,13,21,53.61575439,58.91479003,989.7846069,82.5598526,1.740867734,Clear,0
10,13,22,53.43942384,57.73870362,989.6241455,85.5608139,1.713162422,Partly Cloudly,0
10,13,23,53.34686402,56.73724488,989.1738892,88.4026413,1.682892799,Partly Cloudly,0
10,14,2,53.68233155,54.64764527,988.0739136,96.5382843,1.463271976,Mostly Cloudy,0
10,14,3,53.86843994,54.21220214,987.7469482,98.75259399,1.37419641,Mostly Cloudy,0
10,14,4,53.90804565,54.30860717,987.4910889,98.54840088,1.33592248,Mostly Clear,0
10,14,5,53.85954101,54.45681274,987.4724731,97.84368896,1.268595099,Clear,0
